index,asset_nm,ct_cl,genre_of_ct_cl,SMRY,ACTR_DISP,disp_rtm,category_l,category_h,series_nm,clean_asset_nm,image
1,소방서 옆 경찰서 05회,TV드라마,기타,"범죄 모의 일당에 지원하며, 언더커버 작전을 시작하는 호개. 그런데 이 놈들, 단순 잡범들이 아니다! 대량사상자가 나올 수 있는 절체절명의 위기, 우리의 주인공들은 과연 무고한 죽음을 막을 수 있을 것인가?","김래원,손호준,공승연",4140.0,TV드라마,TV드라마,,소방서 옆 경찰서,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/s5aDuYwUIh2OdcvvDBJ65yQu1o4.jpg
2,소방서 옆 경찰서 06회,TV드라마,기타,"컨테이너 함바집 화재 현장에서 발견된 의문의 불에 탄 시체! 순조롭게 진행된 경찰 수사와 화재조사로 금세 유력한 용의자의 신원이 특정된다! 그러나, 범인은 모두가 전혀 상상도 하지 못한 의외의 인물인데...","김래원,손호준,공승연",3540.0,TV드라마,TV드라마,,소방서 옆 경찰서,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/s5aDuYwUIh2OdcvvDBJ65yQu1o4.jpg
3,신성한 이혼 01회,TV드라마,기타,독특한 이력을 자랑하는 이혼 전문 변호사 신성한에게 외도 스캔들로 곤혹을 겪는 유명 라디오 DJ 이서진이 찾아온다.,"조승우,한혜진,김성균,정문성",3840.0,TV드라마,TV드라마,,신성한 이혼,
4,신성한 이혼 02회,TV드라마,기타,의외의 인물로부터 사건 해결의 열쇠를 찾은 성한은 재판장에서 승부수를 던진다.,"조승우,한혜진,김성균,정문성",3720.0,TV드라마,TV드라마,,신성한 이혼,
5,신성한 이혼 03회,TV드라마,기타,"말 못할 고부갈등으로 성한을 찾아온 애란. 한편, 달갑지 않은 손님이 성한 앞에 등장한다.","조승우,한혜진,김성균,정문성",3780.0,TV드라마,TV드라마,,신성한 이혼,
6,신성한 이혼 04회,TV드라마,기타,신성한 변호사 사무실에 새로운 얼굴이 합류한다. 애란의 케이스는 예상하지 못한 방향으로 흘러가는데...,"조승우,한혜진,김성균,정문성",4080.0,TV드라마,TV드라마,,신성한 이혼,
7,신성한 이혼 05회,TV드라마,기타,손을 꼭 잡고 나타난 은밀한 관계의 두 남녀 의뢰인. 성한은 금화로펌의 견제 속에서 묘수를 찾아야 한다.,"조승우,한혜진,김성균,정문성",3840.0,TV드라마,TV드라마,,신성한 이혼,
8,신성한 이혼 06회,TV드라마,기타,"성한의 오랜 인연 마여사가 그의 사무실을 방문해 예기치 못한 질문을 건넨다. 한편, 형근은 자신의 오랜 인연에 대한 결심을 내린다. 신성한 변호사 사무실은 점점 바빠지는데...","조승우,한혜진,김성균,정문성",4020.0,TV드라마,TV드라마,,신성한 이혼,
9,신성한 이혼 07회,TV드라마,기타,베트남 아내 폭행 케이스를 맡게 된 성한은 미덥지 않은 부분을 발견한다. 어쩌면 치명적인 쟁점으로 작용할지도 모르는.,"조승우,한혜진,김성균,정문성",3720.0,TV드라마,TV드라마,,신성한 이혼,
10,신성한 이혼 08회,TV드라마,기타,지독한 악연 유석과 맞붙게 된 성한은 여론의 판을 키운다. 정식과 형근은 조사를 위해 해남으로 향한다.,"조승우,한혜진,김성균,정문성",3600.0,TV드라마,TV드라마,,신성한 이혼,
11,신성한 이혼 09회,TV드라마,기타,"소연과 형근 사이 뜨끈한 기류가 감돈다. 성한은 마여사의 의뢰를 받아들이고, 진영주는 위기상황에 놓이게 된다. 한편, 서진의 평범한 일상은 조금씩 회복되어간다.","조승우,한혜진,김성균,정문성",4140.0,TV드라마,TV드라마,,신성한 이혼,
12,신성한 이혼 10회,TV드라마,기타,"성한은 마여사의 이혼 소송으로 대남전자 변호인단을 마주한다. 아이러니하게도, 상황은 마여사 덕분에 수월하게 진행된다. 한편, 서진은 인터넷 방송으로 복귀하지만 예기치 못한 상황을 맞닥뜨린다.","조승우,한혜진,김성균,정문성",3660.0,TV드라마,TV드라마,,신성한 이혼,
13,신성한 이혼 11회,TV드라마,기타,"성한은 기영과 가슴 아픈 과거를 되새긴 후 결심한다. 그의 조카를 위해 최선을 다하기로. 한편, 서진과 최준은 자퇴 중학생 준희를 돕기 위해 나선다.","조승우,한혜진,김성균,정문성",4020.0,TV드라마,TV드라마,,신성한 이혼,
14,신성한 이혼 12회,TV드라마,기타,,"조승우,한혜진,김성균,정문성",4980.0,TV드라마,TV드라마,,신성한 이혼,
15,금이야 옥이야 121회,TV드라마,기타,"강산은 병실에 있는 미래를 찾아가고 홍도는 강산이 식당을 차릴 수 있는 자금을 마련해 준다. 미래가 유학을 떠나는 날, 찬란은 만나자는 선주의 연락을 받고 미래가 골수기증을 했단 애길 듣는데...","서준영,윤다영,김시후,강다현,김호영,최종환,송채환,이응경,김영호,최재원,이윤성,최필림,반민정,안용준,김동윤",1680.0,TV드라마,TV드라마,,금이야 옥이야,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/zcrJnIIS1J7Ed6WpSFpZ9PvdKWU.jpg
16,멍뭉이,영화,드라마, 루니의 새 집사를 찾아라! 동생 같은 반려견 루니를 위해 정시 퇴근에 진심인 민수. 결혼을 앞둔 그에게 닥친 집사 인생 조기 로그아웃 위기!,"유연석,차태현",6780.0,드라마,영화,,멍뭉이,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/nme0kRiP5jBSKFRLnaLBSn5ny9G.jpg
17,그것이알고싶다 1367회,TV 시사/교양,기타,"백골과 코헨 가돌 - 포항 부활 일기 미스터리. 이미 부패가 심하게 진행돼 정확히 언제 사망했는지 가늠하기 어려운 백골 상태로 발견된 박영광 씨. 박 씨는 어쩌다 이 방에서 홀로 사망한 걸까? 그런데 경찰이 집안을 수색하던 중, 작은방에서 뜻밖의 단서가 발견됐다.",김상중,4680.0,교양/다큐멘터리,TV방송,,그것이알고싶다,
18,그것이알고싶다 1368회,TV 시사/교양,기타,"밧줄과 명령 - 의암호 선박 침몰 미스터리. 생존자 및 목격자들의 증언 취재와 CCTV 분석을 토대로 사고 당시를 입체적으로 재구성하고, 3D 모델링을 통해 3년간 풀리지 않았던 의암호 선박 침몰 사고의 미스터리를 파헤친다.",김상중,4140.0,교양/다큐멘터리,TV방송,,그것이알고싶다,
19,그것이알고싶다 1369회,TV 시사/교양,기타,"여름밤의 화염과 사라진 일주일 - 월령마을 차량 화재 미스터리. 지난 2009년 8월 5일, 군산시 월령마을에서 차량이 불타고 있다는 신고가 접수된다. 119가 출동해 10여 분 만에 진화가 이뤄졌지만, 신고 당시 이미 불길이 가장 센 최성기 상태였기에 차량은 전소되었다.",김상중,4680.0,교양/다큐멘터리,TV방송,,그것이알고싶다,
20,2022 역사저널 그날 50회,TV 시사/교양,기타,"[산자들의 정치공간, 조선왕릉 1 - 세조의 염원, 아버지의 능을 옮겨라] 세종의 효심과 세조의 염원에서 비롯된 영릉(세종 능)의 저주, 그로 인한 조선 왕실의 위기에 대해 알아본다.","최원정,이시원,허준,최태성",2880.0,교양/다큐멘터리,TV방송,,2022 역사저널 그날,
21,마파도,영화,코미디,"160억을 들고 잠적한 한 여자를 찾아 모범 건달 재철과 비리 형사 충수는 지도에도 없는 수상한 섬 마파도로 낚시꾼으로 위장, 잠복해 들어간다. 마파도는 섬 전체 인구 5명, 구성 성비 여자 100프로, 공동생산, 공동분배, 공동사역, 공동소유로 살아가는 이상한 섬인데...","이정진,이문식,여운계,김수미,김을동,김형자",6540.0,코미디,영화,,마파도,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/mlB0n9zom3qlK7TWxgoWqltohH2.jpg
22,미운우리새끼 307회,TV 연예/오락,기타,1. 김희철. 희철의 절친 건희를 만나러 간 탁X궁X철! 2. 임원희. 과거 진짜 사나이에서 해병대 훈련을 함께 받았던 원희X경환 딘딘! 오랜만에 전우회를 가진 이들이 모임을 가진 진짜 이유는? 3. 이상민. 무인도 로망을 실현하기 위해 아들들을 소집한 상민!,"신동엽,서장훈",6300.0,예능,TV방송,,미운우리새끼,
23,범죄도시3,영화,액션/어드벤쳐," 대체불가 괴물형사 마석도, 서울 광수대로 발탁! 베트남 납치 살해범 검거 후 7년 뒤, 마석도는 새로운 팀원들과 함께 살인사건을 조사한다. 사건 조사 중, 마석도는 신종 마약 사건이 연루되었음을 알게 되고 수사를 확대하는데...","마동석,이준혁,아오키 무네타카",6300.0,액션/어드벤쳐,영화,,범죄도시3,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/jbremGnsRR4XZMDj97YHt20isRP.jpg
24,초대: 스와핑 데이,영화,멜로,"연극배우인 엔리케는 아내 알리시아와 거리감을 느끼며 살아가고 있다. 그러던 어느 날, 알리시아는 친구인 카를로타를 집에 데려오고 갈 곳이 마땅치 않은 카를로타와 함께 세 사람이 살게 된다...","마리아노 팔라시오스,이바나 데마리아",4560.0,멜로,영화,,초대: 스와핑 데이,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/w2Pv2KEtbGNkiPitDZrncQmdNzS.jpg
25,태어난 김에 세계일주2 04회,TV 연예/오락,기타,"굿바이 바라나시! 꿈꾸던 인도 열차를 타고 델리로! 기안84, 인도 결혼식장에서 슈퍼스타 등극?! 한순간에 결혼식장의 슈퍼스타로 등극한 댄싱84와 한 걸음 뒤에서 형님을 바라보게 된 덱스, 상황이 역전된 두 사람! 그리고, 기나긴 기다림 끝에 들리는 신랑 도착 소리...!","기안84,덱스,빠니보틀,사이먼 도미닉,장도연,이승훈",5220.0,예능,TV방송,,태어난 김에 세계일주2,
26,후궁-제왕의첩,영화,멜로," 미치지 않고는 살 수 없는 궁. 그 속에 담긴 애욕의 정사, 광기의 정사. 살기 위해 변해야 했던 여인, 화연. 권력과 사랑으로 벌거벗은 왕, 성원대군. 모든 걸 빼앗긴 남자 권유.","조여정,김동욱,김민준",7320.0,멜로,영화,,후궁-제왕의첩,
27,해피엔드,영화,멜로,"은행에서 실직한 지 3개월이 된 민기는 바쁜 아내 보라 대신 딸을 돌보며, 일상의 한가로움을 즐긴다. 보라는 대학시절 애인과 우연히 재회한 후, 남편 몰래 그와 상습적인 만남을 거듭하는데...","최민식,전도연,주진모,주현,황미선,김병춘,유연수,허예인",6000.0,멜로,영화,,해피엔드,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/hTHRNmt70045ATJFZC7euLRq58l.jpg
