asset_nm,similar_assets
소방서 옆 경찰서 05회,"['전생했더니 검이었습니다 12회', '소방서 옆 경찰서 1회', '소방서 옆 경찰서 01회', '미스터 로또 07회', '말량n홍챠TV 시즌2 8회', '런민기TV 시즌2 01회', '런민기TV 시즌2 1회', '회장님네 사람들 50회', '악어TV 조선타짜 22회']"
소방서 옆 경찰서 06회,"['실종느와르M 10회', '조선명탐정: 흡혈괴마의 비밀', '타워', '소방서 옆 경찰서 7회', '소방서 옆 경찰서 07회', '로리타:버려진소녀들2', '드론-미래전쟁', '가면', '그것이알고싶다 1370회']"
신성한 이혼 01회,"['황금어장-라디오스타 830회', '순정', '금이야 옥이야 036회', '금이야 옥이야 36회', '새해전야', '고딩엄빠 3 25회', '천원짜리 변호사 스페셜 1회', '천원짜리 변호사 스페셜', '한여름의 추억 2회', '동물극장 단짝 73회']"
신성한 이혼 02회,"['가면의 여왕 16회', '타임 패러독스', '신성한 이혼 05회', '적룡의 신 포청천 Part 3 20회', '신성한 이혼 07회', '신성한 이혼 08회', '신성한 이혼 11회', '2023 역사저널 그날 31회', '식객 허영만의 백반기행 209회', '신성한 이혼 09회']"
신성한 이혼 03회,"['꼬리에 꼬리를 무는 그날 이야기 2 21회', '푸른 뱀파이어의 고민 8회', '명탐정코난 4기 12회', '루퍼', '한 번 다녀왔습니다 47회', '탐정: 리턴즈', '펜트하우스2히든룸-끝나지않은이.. 1회', '사랑의 불시착 10회', '수학 없는 수학여행 10회', 'SPEC 10회']"
신성한 이혼 04회,"['신성한 이혼 06회', '항룡대사 : 용의 출현', '스토브리그 05회', '스토브리그 5회', '가슴이 뛴다 10회', '기적의 형제 15회', '빨간토마토 극장 시즌1 01회', '빨간토마토 극장 시즌1 1회', '연인 파트1 9회', '연인 파트1 09회']"
신성한 이혼 05회,"['엉뚱발랄 콩순이와 친구들 스페셜 Part5 01회', '베리드 카인', '신성한 이혼 02회', '대탈출3 12회', '구해줘! 홈즈 206회', '뽀로로 인기 동요 15회', '맘마미아', '뽀로로 인기 동요 06회', '금이야 옥이야 017회', '로빈TV 미니게임 PART1 1회']"
신성한 이혼 06회,"['신성한 이혼 04회', '금이야 옥이야 005회', '안녕, 프란체스카 시즌2 17회', '천원짜리 변호사 8회', '천원짜리 변호사 08회', '가족의 탄생 115회', '포켓몬스터 XY 1기', '신성한 이혼 08회', '코드네임: 에이전트 블랙', '암련, 귤생회남 21회']"
신성한 이혼 07회,"['님은먼곳에', '신성한 이혼 02회', '꼬리에 꼬리를 무는 그날 이야기 2 21회', '신성한 이혼 05회', '연인', '오은영 리포트 결혼 지옥 51회', '도둑들: 비트코인 전쟁', '신성한 이혼 08회', '궁금한이야기Y 654회', '경이로운 소문2: 카운터 펀치 10회']"
신성한 이혼 08회,"['천일야사 262회', '도굴', '옆집사람', '타짜-신의 손', '신성한 이혼 02회', '신성한 이혼 11회', '신성한 이혼 05회', '신성한 이혼 06회', '신성한 이혼 07회', '창란결 15회']"
신성한 이혼 09회,"['신성한 이혼 10회', '트랜스포터-리퓰드', '모범택시 2 09회', '현재는 아름다워 50회', '신성한 이혼 02회', '산다든가 죽는다든가 아버지라든가 12회', '신성한 이혼 05회', '거미입니다만 문제라도? 01회', '거미입니다만 문제라도? 1회', '신성한 이혼 11회']"
신성한 이혼 10회,"['신성한 이혼 09회', '금이야 옥이야 036회', '금이야 옥이야 36회', '신성한 이혼 02회', '새해전야', '편의점 샛별이 06회', '편의점 샛별이 6회', '신성한 이혼 05회', '금이야 옥이야 005회', '고딩엄빠 3 25회']"
신성한 이혼 11회,"['투윅스  10회', '신성한 이혼 08회', '신성한 이혼 02회', '빅터 프랑켄슈타인', '소녀대인 31회', '소녀대인 31회.', '하나뿐인 내편 41회', '거짓말을 사랑하는 여자', '최강 배달꾼 10회', '신성한 이혼 05회']"
신성한 이혼 12회,"['넷플릭스 VS. 월드', '박원숙의 같이 삽시다 시즌3 129회', '꿀잼 퀴즈방 2회', '시크릿 부티크 16회', '돌싱글즈4 7회', '벌거벗은 세계사 114회', '낭만닥터 김사부3 10회', '미스터 로또 3회', '하늘의 인연 84회', '홍김동전 24회']"
금이야 옥이야 121회,"['짱구는 못말려 22기 05회', '금이야 옥이야 081회', '금이야 옥이야 037회', '금이야 옥이야 37회', '금이야 옥이야 082회', '금이야 옥이야 117회', '내일의 기억', '금이야 옥이야 113회', '금이야 옥이야 88회', '금이야 옥이야 088회']"
멍뭉이,"['집사TV', '엘리가간다 시즌7 02회', '엘리가간다 시즌4 2회', '엘리가간다 시즌4 02회', '톱스타 유백이 11회', '흔한남매 01회', '엘리가간다 시즌4 21회', '검색어를 입력하세요 WWW 16회', '동물극장 단짝 77회', '한국인의 식판 01회']"
그것이알고싶다 1367회,"['명탐정코난 21기 1회', '명탐정코난 21기 01회', '나는자연인이다 511회', '2022 호반배 서울신문 세계여자패왕전 13회', '동정남 발정시킨 옆집 유부녀', '극장판 명탐정 코난-순흑의 악몽', '범죄의 순간들 시즌2 10회', '요시찰', 'SBS스페셜 659회', '인간극장 3380회']"
그것이알고싶다 1368회,"['엘리가간다 시즌4 01회', '다이빙 벨-진실은 침몰하지 않습니다', '천안함 프로젝트', '그것이알고싶다 1366회', '짱구는못말려 16기 23회', '아테나:전쟁의여신 21회', '그것이알고싶다 1359회', '핫 그리스 1회', '그것이알고싶다 1364회', '원피스-기계태엽성의메카거병']"
그것이알고싶다 1369회,"['실화탐사대 230회', '꼬리에꼬리를무는그날이야기 36회', '경성학교-사라진 소녀들', '짱구는 못말려 22기 03회', '실종느와르M 10회', '공동정범', '한문철의 블랙박스 리뷰 5회', '한문철의 블랙박스 리뷰 05회', '극장판 명탐정 코난-순흑의 악몽', '낭만닥터 김사부3 16회']"
